epoch,accuracy,loss,val_accuracy,val_loss
0,0.38665929436683655,1.3209055662155151,0.47262248396873474,1.264732003211975
1,0.6523664593696594,0.9701971411705017,0.6541786789894104,0.9496346712112427
2,0.7868807315826416,0.5834550857543945,0.6974063515663147,0.7976974844932556
3,0.8483254909515381,0.4136045277118683,0.6945244669914246,0.7855753898620605
4,0.8820924162864685,0.328830361366272,0.7002881765365601,0.7969691157341003
5,0.9053418040275574,0.2691837251186371,0.6772334575653076,0.8626418709754944
6,0.9261001944541931,0.2218751311302185,0.7060518860816956,0.9241235256195068
7,0.9415997862815857,0.18747463822364807,0.6945244669914246,0.928128719329834
8,0.950179934501648,0.15906590223312378,0.680115282535553,1.0121345520019531
9,0.9557154774665833,0.14433081448078156,0.6887608170509338,1.0905910730361938
10,0.9618045687675476,0.12556427717208862,0.6829971075057983,1.1036628484725952
11,0.9667866230010986,0.11636807769536972,0.6916426420211792,1.1469875574111938
12,0.9690008163452148,0.1075262725353241,0.6858789920806885,1.2597988843917847
13,0.9692776203155518,0.10093686729669571,0.6685879230499268,1.275935411453247
14,0.9712150692939758,0.09385282546281815,0.680115282535553,1.2927281856536865
15,0.973706066608429,0.08898339420557022,0.6714697480201721,1.3381483554840088
16,0.9731525182723999,0.08862125873565674,0.680115282535553,1.342029094696045
17,0.9739828109741211,0.08085671067237854,0.6657060384750366,1.3852171897888184
18,0.9767506122589111,0.07071511447429657,0.6858789920806885,1.4097528457641602
19,0.9759202599525452,0.07431286573410034,0.6599423885345459,1.4596408605575562
20,0.976473867893219,0.07193189114332199,0.6743515729904175,1.495154857635498
21,0.9767506122589111,0.07131391018629074,0.6657060384750366,1.6562482118606567
22,0.9775809645652771,0.06696255505084991,0.6570605039596558,1.5375018119812012
23,0.9767506122589111,0.06419170647859573,0.6599423885345459,1.6335148811340332
24,0.9792416095733643,0.06738618016242981,0.6772334575653076,1.5905616283416748
